,Unnamed: 0,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.,2019 г.,2020 г.
0,все население,,,,,,,
1,Российская Федерация,305469.0,277422.0,259662.0,76060.0,-99712.0,-32130.0,-577575.0
2,Центральный федеральный округ,131605.0,152840.0,105263.0,101831.0,66646.0,55497.0,-182596.0
3,Белгородская область,3828.0,2201.0,2728.0,-2989.0,-2458.0,1733.0,-7892.0
4,Брянская область,-9659.0,-7199.0,-5211.0,-9548.0,-10795.0,-7696.0,-9809.0
5,Владимирская область,-7708.0,-8445.0,-7569.0,-11262.0,-12532.0,-7389.0,-16317.0
6,Воронежская область,2188.0,2330.0,1931.0,-1640.0,-5947.0,-3616.0,-18597.0
7,Ивановская область,-6221.0,-7071.0,-6668.0,-8524.0,-10466.0,-7045.0,-10103.0
8,Калужская область,5942.0,-714.0,4798.0,-2414.0,-2776.0,-6805.0,-1595.0
9,Костромская область,-1999.0,-2940.0,-3293.0,-4833.0,-6057.0,-3882.0,-4962.0
10,Курская область,-1537.0,2641.0,2874.0,-7656.0,-8196.0,-3033.0,-7520.0
11,Липецкая область,-2001.0,-1772.0,128.0,-6020.0,-6166.0,-4664.0,-11179.0
12,Московская область,97448.0,87579.0,104823.0,79915.0,96262.0,91216.0,17636.0
13,Орловская область,-4749.0,-5510.0,-4905.0,-7569.0,-7780.0,-5969.0,-8812.0
14,Рязанская область,-5406.0,-5335.0,-3364.0,-5265.0,-7337.0,-5290.0,-10590.0
15,Смоленская область,-3105.0,-6161.0,-5429.0,-3853.0,-6985.0,-7474.0,-13762.0
16,Тамбовская область,-6513.0,-12126.0,-9968.0,-6775.0,-17586.0,-9218.0,-12328.0
17,Тверская область,-10178.0,-10327.0,-7945.0,-12926.0,-14237.0,-9257.0,-14760.0
18,Тульская область,-7927.0,-7124.0,-7029.0,-7562.0,-13037.0,-12691.0,-17012.0
19,Ярославская область,-137.0,283.0,-1176.0,-5052.0,-6072.0,-6223.0,-11965.0
20,Город Москва столица Российской Федерации город федерального значения,89339.0,132530.0,50538.0,125804.0,108811.0,62800.0,-23029.0
21,Северо-Западный федеральный округ,42898.0,10138.0,45616.0,52693.0,20067.0,9922.0,-40033.0
22,Республика Карелия,-1869.0,-2658.0,-2792.0,-4599.0,-4428.0,-3992.0,-4993.0
23,Республика Коми,-7633.0,-7593.0,-6277.0,-9681.0,-10638.0,-9762.0,-6883.0
24,Архангельская область,-8462.0,-9245.0,-8328.0,-10722.0,-10909.0,-7584.0,-9484.0
25,Ненецкий автономный округ (Архангельская область),348.0,465.0,99.0,60.0,-168.0,282.0,278.0
